,oai,datestamp,language,doi,length,uri_audios,uri_annotations
0,oai:crdo.vjf.cnrs.fr:cocoon-702bbb09-377a-3a2e-b687-d68b22eaa564,2020-11-28,Lazé,10.24397/PANGLOSS-0004337,170.0,https://cocoon.huma-num.fr/data/archi/masters/234699.wav,https://cocoon.huma-num.fr/data/michaud/masters/crdo-NBF_ENTERREEVIVE.xml
1,oai:crdo.vjf.cnrs.fr:cocoon-b3c77db4-54b3-331d-97ba-d907c1a05239,2020-11-28,Lazé,10.24397/PANGLOSS-0004339,170.0,https://cocoon.huma-num.fr/data/archi/masters/234727.wav,https://cocoon.huma-num.fr/data/michaud/masters/crdo-NBF_FEMMECELESTE.xml
2,oai:crdo.vjf.cnrs.fr:cocoon-aaa916fa-a531-303d-8ef2-24d857400d85,2020-11-28,Lazé,10.24397/PANGLOSS-0004493,110.0,https://cocoon.huma-num.fr/data/archi/masters/345093.wav,
3,oai:crdo.vjf.cnrs.fr:cocoon-b14424e7-adf9-3efa-9dcf-e891b0ae0f24,2020-11-28,Lazé,10.24397/PANGLOSS-0004494,88.0,https://cocoon.huma-num.fr/data/archi/masters/345088.wav,
4,oai:crdo.vjf.cnrs.fr:cocoon-a4d1fcff-f7a3-39e5-adf0-6189ef4c0424,2020-11-28,Lazé,10.24397/PANGLOSS-0004500,194.0,https://cocoon.huma-num.fr/data/archi/masters/345094.wav,
5,oai:crdo.vjf.cnrs.fr:cocoon-86286c2a-5113-3d7d-ac46-24497a372260,2020-11-28,Lazé,10.24397/PANGLOSS-0004501,164.0,https://cocoon.huma-num.fr/data/archi/masters/345095.wav,
6,oai:crdo.vjf.cnrs.fr:cocoon-db7319db-63c1-3756-a7b8-20651cd1203d,2020-11-28,Lazé,10.24397/PANGLOSS-0004502,573.0,https://cocoon.huma-num.fr/data/archi/masters/345096.wav,
7,oai:crdo.vjf.cnrs.fr:cocoon-a86de337-6564-3c63-830d-753c4bdd22aa,2020-11-28,Lazé,10.24397/PANGLOSS-0004503,226.0,https://cocoon.huma-num.fr/data/archi/masters/345097.wav,
8,oai:crdo.vjf.cnrs.fr:cocoon-c8b5602d-2d7e-30f5-911d-f876dcb12f8a,2020-11-28,Lazé,10.24397/PANGLOSS-0004504,1113.0,https://cocoon.huma-num.fr/data/archi/masters/345100.wav,
9,oai:crdo.vjf.cnrs.fr:cocoon-cdf12766-c31b-360f-bbc1-c813213faac4,2020-11-28,Lazé,10.24397/PANGLOSS-0004505,377.0,https://cocoon.huma-num.fr/data/archi/masters/345101.wav,
10,oai:crdo.vjf.cnrs.fr:cocoon-3b3f73b5-34d0-3069-8fde-9ed387a7ed9c,2020-11-28,Lazé,10.24397/PANGLOSS-0004506,444.0,https://cocoon.huma-num.fr/data/archi/masters/345102.wav,
11,oai:crdo.vjf.cnrs.fr:cocoon-776af093-aec1-3d9b-bd1b-67d65474a565,2020-11-28,Lazé,10.24397/PANGLOSS-0004507,490.0,https://cocoon.huma-num.fr/data/archi/masters/345103.wav,
12,oai:crdo.vjf.cnrs.fr:cocoon-add6e172-040d-3e9e-a659-6f9e1366ad9e,2020-11-28,Lazé,10.24397/PANGLOSS-0004508,297.0,https://cocoon.huma-num.fr/data/archi/masters/345104.wav,
13,oai:crdo.vjf.cnrs.fr:cocoon-1c9ac3a4-f9a8-3316-9cd3-8eda2d159574,2020-11-28,Lazé,10.24397/PANGLOSS-0004509,212.0,https://cocoon.huma-num.fr/data/archi/masters/345105.wav,
14,oai:crdo.vjf.cnrs.fr:cocoon-d6370ebe-735e-3336-831f-7b16d07646df,2020-11-28,Lazé,10.24397/PANGLOSS-0004510,595.0,https://cocoon.huma-num.fr/data/archi/masters/345106.wav,
15,oai:crdo.vjf.cnrs.fr:cocoon-df521e58-226d-3595-aff6-005922377c6e,2020-11-28,Lazé,10.24397/PANGLOSS-0004511,266.0,https://cocoon.huma-num.fr/data/archi/masters/345107.wav,
16,oai:crdo.vjf.cnrs.fr:cocoon-b478d042-efc0-3c92-beb5-76b8aa0d4122,2020-11-28,Lazé,10.24397/PANGLOSS-0004512,538.0,https://cocoon.huma-num.fr/data/archi/masters/345108.wav,
17,oai:crdo.vjf.cnrs.fr:cocoon-cb35637f-85dd-3303-9f9c-3d90f8e8efdf,2020-11-28,Lazé,10.24397/PANGLOSS-0004513,200.0,https://cocoon.huma-num.fr/data/archi/masters/345098.wav,
18,oai:crdo.vjf.cnrs.fr:cocoon-4c0ed244-2c8a-36ce-ab01-1f0c19ffce32,2020-11-28,Lazé,10.24397/PANGLOSS-0004514,278.0,https://cocoon.huma-num.fr/data/archi/masters/345099.wav,
19,oai:crdo.vjf.cnrs.fr:cocoon-f97ec661-066c-3940-9cbc-c6dceb36b0dd,2020-11-28,Lazé,10.24397/PANGLOSS-0004515,615.0,https://cocoon.huma-num.fr/data/archi/masters/345109.wav,
